name,company,region,payment_type,price
"('Термос Maestro MR-1632-100, 1.0л',)","ТОО ""TEXNOCOM"" - мы работаем для Вас!",Усть-Каменогорск,"Наличными, Безналичный расчет",6075,"['+7 (723) 224-15-84', '+7 (723) 224-14-59', '+7 (705) 282-54-29']"
"('Термос ""Спорт"", 500 мл, сохраняет тепло 12 ч,  7х24 см, чёрно-розовый',)",Сима-ленд 2,Екатеринбург,"Наличными, Банковской картой",2664.01,['+7 (707) 377-86-76']
"('Термос Viomi Stainless Vacuum Cup Белый',)","ИП ""SkidkaKZ""",Алматы,"Наличными, Безналичный расчет",13840,['+7 (707) 774-41-40']
"('Термос 330мл, Follow my feet, микс, 7*24',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",4693,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Кружка-Термос LAPLAYA TRAVEL #DFD',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",3100,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос походный металлический 500 мл.',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",3500,['+7 (747) 164-07-92']
"('Термос Амет Дорожный DN 1с669 с узким горлом, 1.5л, пробка без кнопки, ремень тканевый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",8743.8,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Армейские термосы по ТУ',)",ТОО Контейнер Снаб,Алматы,"Купить в кредит (Home Credit), Наличными",36500,"['+7 (775) 327-17-88', '+7 (727) 317-41-15', '+7 (778) 996-95-83']"
"('9726 FISSMAN Термокружка 450 мл (стальной корпус со стальной колбой)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",5950,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос вакуумный из нержавеющей стали «STARLUX» AOTE [380 мл]',)",StarShop.kz - уникальные вещи с доставкой на дом,Алматы,"Наличными, Банковской картой VISA, MASTERCARD, AMEX",2990,"['+7 (727) 237-98-88', '+7 (775) 606-07-45', '+7 (717) 269-58-88', '+7 (712) 295-04-44', '+7 (729) 246-86-66']"
"('Термос пищевой 20 литров',)",ProPosuda,Караганда,"Наличными, Безналичный расчет",6500,['8 (775) 643-16-35']
"('Детский термос (360 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4200,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос Maestro MR-1631-150N, 1.5л',)","ТОО ""TEXNOCOM"" - мы работаем для Вас!",Усть-Каменогорск,"Наличными, Безналичный расчет",7290,"['+7 (723) 224-15-84', '+7 (723) 224-14-59', '+7 (705) 282-54-29']"
"('Вакуумный термос Terma\xa0350 мл с именем или надписью',)",Интернет-магазин кофе и аксессуаров,Киев,"Оплата с вашей банковской карты VISA/Mastercard, На карту Сбербанк (Россия)",4995,"['+380 (99) 674-15-72', '+380 (67) 269-29-79', '+380 (63) 950-34-93']"
"('Термос KOVEA ONE-TOUCH COOLIO',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",7100,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос питьевой Арктика 705-350 (кнопка с фиксатором) 0,35 л, зеленый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",8949,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос на 2 литра ',)","Это Интернет магазин, где более 20 000 полезных товаров",Алматы,"Наличными, Безналичный расчет",11190,"['+7 (778) 389-96-39', '+7 (707) 392-88-25', '+7 (705) 127-71-33', '+7 (727) 229-17-66', '+7 (777) 200-61-81']"
"('ПЛАСТИКОВАЯ ТЕРМО ПОСУДА 3 шт',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",7000,"['+7 (747) 164-07-92', '+7 (747) 164-07-92']"
"('Термос 1л',)",Qwerty,Алматы,"Оплата наличными, Банковский платеж",2300,"['+7 (776) 220-01-82', '+7 (727) 329-01-82']"
"('Термос Winter Sport, Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",2400,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос BERG HOFF 2,0 л. Алматы',)","""1000 и 1 мелочь!""",Алматы,"Безналичный расчет, Наличными",5000,"['+7 (771) 446-43-16', '+7 (727) 327-06-14', '+7 (707) 111-54-48', '+7 (705) 550-69-22']"
"('Детский термос (350 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4800,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос бытовой, вакуумный питьевой, 500 мл зеленый  тм""Арктика""',)",Оружейный двор,Уральск,"QIWI кошелек, Наличными",8950,"['+7 (711) 228-42-20', '+7 (711) 228-50-50']"
"('Бутылочка',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",700,['+7 (747) 164-07-92']
"('Термос питьевой Арктика 705-500 (кнопка с фиксатором) 0,5 л, оранжевый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",9462,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос ARCTICA СITYTERM RUSSIAN',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",7200,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос Viomi Stainless Vacuum Cup Белый',)",Tevo Consulting,Алматы,"Наличными, Безналичный расчет",10900,"['+7 (727) 296-07-88', '+7 (727) 337-72-07', '+7 (701) 872-38-15', '+7 (747) 915-00-71', '+7 (701) 750-07-88']"
"('9725 FISSMAN Термокружка 500 мл (стальной корпус со стальной колбой)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",7100,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос для пищи с широким горлом (1400 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",9600,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос 500мл Be brave,(+ситечко), держит тепло 8ч, микс 7*21см',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",5733,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Термос Rondell RDS 496',)",Техно-Строй-Астана,Астана,"Перевод денежных средств на карту, Оплата на банковский счет компании.",6620,"['+7 (717) 246-64-35', '+7 (777) 355-81-64', '+7 (707) 585-89-19', '+7 (717) 239-65-68']"
"('Sagaform Термос-кувшин, красный',)",ТОО «БРЕРАС»,Тараз,"Яндекс.Касса, Безналичный расчет",28935,['+7 (708) 455-73-77']
"('Термос Амет Турист-Н КU 1с634 с универсальным горлом, 1.0л, пробка без кнопки, с ручкой',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",8538.6,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос ARCTICA СITYTERM YAKUZA RED',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",7200,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос «Hope» (1800 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",5000,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос Амет Дорожный DU 1с671 с универсальным горлом, 1.0л, пробка без кнопки, ремень тканевый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",7506.9,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос АRСTIСA UNIVERSUM',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",19500,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термосы Love Taste',)",Интернет-магазин Shoppify,Алматы,"Наложенный платеж, Безналичный расчет",3500,"['+7 (777) 680-87-77', '+7 (701) 255-12-91']"
"('Термос ""Спорт"", 500 мл, сохраняет тепло 12 ч,  7х24 см, чёрно-зелёный',)",Сима-ленд 2,Екатеринбург,"Наличными, Банковской картой",2931.07,['+7 (707) 377-86-76']
"('Детский термос (450 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4700,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('9724 FISSMAN Термокружка 500 мл (стальной корпус со стальной колбой)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",6400,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
